Feature,PosCount,NegCount,TotalCount,DominantCount
A,10,0,10,10
C,0,10,10,10
D,10,0,10,10
H,0,10,10,10
S,0,10,10,10
SS8_E,10,0,10,10
L,0,7,7,7
SS8_-,0,7,7,7
V,7,0,7,7
ASA,0,6,6,6
P,0,4,4,4
W,0,3,3,3
G,2,0,2,2
I,2,0,2,2
K,2,0,2,2
