Accuracy,Precision,Recall,F1,ROC_AUC,run
0.6972477064220184,0.6197387518142236,0.4173998044965787,0.49883177570093457,0.7355090240859998,1
0.7025405786873676,0.6304347826086957,0.4252199413489736,0.5078809106830122,0.7325678365025723,2
0.6933662667607622,0.613905325443787,0.4056695992179863,0.4885226603884638,0.7266260870222324,3
0.6983062808750882,0.6242603550295858,0.4125122189638319,0.4967628016480283,0.7367202600810837,4
0.6947776993648553,0.6154970760233918,0.4115347018572825,0.4932630345635618,0.7356353294437761,5
0.7018348623853211,0.6340361445783133,0.4115347018572825,0.4991108476585655,0.7359230249809328,6
0.7050105857445307,0.6330014224751067,0.43499511241446726,0.5156431054461182,0.7428757570899677,7
0.7000705716302047,0.6332819722650231,0.40175953079178883,0.4916267942583732,0.7351382045099649,8
0.6997177134791813,0.6246376811594203,0.42130987292277616,0.5032107413893754,0.7358485372058341,9
0.7021877205363444,0.6201342281879194,0.45161290322580644,0.5226244343891403,0.7410168013114167,10
