Accuracy,Precision,Recall,F1,ROC_AUC,run
0.8158844765342961,0.7634408602150538,0.71,0.7357512953367875,0.8829378531073446,1
0.8303249097472925,0.8045977011494253,0.7,0.7486631016042781,0.8853672316384181,2
0.8303249097472925,0.7849462365591398,0.73,0.7564766839378239,0.8865536723163842,3
0.8086642599277978,0.7526881720430108,0.7,0.7253886010362695,0.8871751412429378,4
0.8194945848375451,0.7717391304347826,0.71,0.7395833333333334,0.8984180790960452,5
0.8158844765342961,0.7634408602150538,0.71,0.7357512953367875,0.8809039548022599,6
0.8267148014440433,0.776595744680851,0.73,0.7525773195876289,0.881412429378531,7
0.8231046931407943,0.8,0.68,0.7351351351351352,0.8823163841807911,8
0.8267148014440433,0.8023255813953488,0.69,0.7419354838709677,0.8889265536723163,9
0.8086642599277978,0.7974683544303798,0.63,0.7039106145251397,0.8872316384180792,10
