Feature,PosCount,NegCount,TotalCount,DominantCount
GRAVY,7,0,7,7
feature_544,7,0,7,7
SS8_E,6,0,6,6
feature_829,6,0,6,6
SS8_I,5,0,5,5
feature_798,0,5,5,5
feature_1087,4,0,4,4
feature_362,0,4,4,4
feature_152,3,0,3,3
feature_37,0,3,3,3
feature_428,0,3,3,3
feature_77,3,0,3,3
H,2,0,2,2
SS3_E,2,0,2,2
feature_1051,0,2,2,2
feature_119,0,2,2,2
feature_154,2,0,2,2
feature_470,0,2,2,2
feature_517,0,2,2,2
feature_662,2,0,2,2
P,0,1,1,1
SS8_S,0,1,1,1
feature_1012,1,0,1,1
feature_1022,1,0,1,1
feature_105,1,0,1,1
feature_1050,0,1,1,1
feature_1083,0,1,1,1
feature_1098,0,1,1,1
feature_1187,0,1,1,1
feature_1207,0,1,1,1
feature_156,0,1,1,1
feature_161,1,0,1,1
feature_200,0,1,1,1
feature_229,0,1,1,1
feature_243,1,0,1,1
feature_410,1,0,1,1
feature_454,1,0,1,1
feature_519,1,0,1,1
feature_655,1,0,1,1
feature_741,0,1,1,1
feature_749,1,0,1,1
feature_811,0,1,1,1
feature_847,0,1,1,1
feature_882,1,0,1,1
feature_91,0,1,1,1
feature_933,0,1,1,1
feature_95,0,1,1,1
feature_996,1,0,1,1
