Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.9734492963149272,0.9734492963149272
26,SS8_I,1.0,0.48138796603000855,0.48138796603000855
18,W,1.0,0.2654449446640838,0.2654449446640838
28,SS8_T,-1.0,0.2439961098680562,-0.2439961098680562
31,ASA,1.0,0.2067110852312166,0.2067110852312166
33,AROM,1.0,0.1880871054331445,0.1880871054331445
30,SS8_-,-1.0,0.18136563774053474,-0.18136563774053474
23,SS8_H,1.0,0.18119666117909916,0.18119666117909916
7,I,1.0,0.1711676149890861,0.1711676149890861
1,C,-1.0,0.16202617422565663,-0.16202617422565663
8,K,-1.0,0.15524966082156583,-0.15524966082156583
9,L,1.0,0.14605277049714116,0.14605277049714116
10,M,1.0,0.1440524417987975,0.1440524417987975
22,SS3_C,-1.0,0.12221813120331972,-0.12221813120331972
12,P,1.0,0.09282300586118478,0.09282300586118478
11,N,-1.0,0.09222270392051916,-0.09222270392051916
25,SS8_G,-1.0,0.08702588983347288,-0.08702588983347288
17,V,1.0,0.0822111072294291,0.0822111072294291
2,D,-1.0,0.07827506788172144,-0.07827506788172144
5,G,1.0,0.0688527046931185,0.0688527046931185
13,Q,-1.0,0.06883324124591376,-0.06883324124591376
4,F,1.0,0.06784250685911411,0.06784250685911411
15,S,-1.0,0.06579518049663585,-0.06579518049663585
29,SS8_S,-1.0,0.053032050802606256,-0.053032050802606256
20,SS3_H,1.0,0.04356563709846461,0.04356563709846461
27,SS8_B,-1.0,0.0413120210630307,-0.0413120210630307
6,H,-1.0,0.03445938639683283,-0.03445938639683283
3,E,-1.0,0.031053822416608305,-0.031053822416608305
0,A,-1.0,0.026645426881954044,-0.026645426881954044
16,T,1.0,0.02569603512192039,0.02569603512192039
24,SS8_E,1.0,0.02440840161071429,0.02440840161071429
21,SS3_E,-1.0,0.019539211278923517,-0.019539211278923517
14,R,-1.0,0.00994933443419945,-0.00994933443419945
19,Y,1.0,0.008911516655765122,0.008911516655765122
