Accuracy,Precision,Recall,F1,ROC_AUC,run
0.9597523219814241,0.8928571428571429,0.8152173913043478,0.8522727272727273,0.9665868780411238,1
0.9613003095975232,0.8941176470588236,0.8260869565217391,0.8587570621468926,0.9661552346570398,2
0.9628482972136223,0.8863636363636364,0.8478260869565217,0.8666666666666667,0.9711387537278292,3
0.9566563467492261,0.9102564102564102,0.7717391304347826,0.8352941176470589,0.9727868466488777,4
0.9613003095975232,0.9036144578313253,0.8152173913043478,0.8571428571428571,0.9711976141892953,5
0.9597523219814241,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.9697653429602888,6
0.958204334365325,0.891566265060241,0.8043478260869565,0.8457142857142858,0.9679602888086642,7
0.9643962848297214,0.9058823529411765,0.8369565217391305,0.8700564971751412,0.9712564746507614,8
0.9659442724458205,0.926829268292683,0.8260869565217391,0.8735632183908046,0.9656843509653115,9
0.9597523219814241,0.9024390243902439,0.8043478260869565,0.8505747126436781,0.9614463977397583,10
