Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
15,S,-1.0,0.2281253212264258,-0.2281253212264258
1,C,-1.0,0.21443671173293113,-0.21443671173293113
6,H,-1.0,0.20191509175005715,-0.20191509175005715
18,W,-1.0,0.12950720550295391,-0.12950720550295391
4,F,-1.0,0.09238194122086536,-0.09238194122086536
17,V,1.0,0.08984106520626522,0.08984106520626522
2,D,1.0,0.07902142172910057,0.07902142172910057
26,SS8_I,1.0,0.07649340693862791,0.07649340693862791
0,A,1.0,0.07560921861103995,0.07560921861103995
5,G,1.0,0.07554390047196428,0.07554390047196428
28,SS8_T,-1.0,0.07343268224133882,-0.07343268224133882
10,M,1.0,0.06679895776022378,0.06679895776022378
19,Y,-1.0,0.059580958815559394,-0.059580958815559394
9,L,-1.0,0.05733729528284675,-0.05733729528284675
32,GRAVY,-1.0,0.05705868101962191,-0.05705868101962191
14,R,-1.0,0.05514507982383179,-0.05514507982383179
22,SS3_C,-1.0,0.04557535360632369,-0.04557535360632369
31,ASA,-1.0,0.0371003203304549,-0.0371003203304549
7,I,1.0,0.034118064475157896,0.034118064475157896
30,SS8_-,1.0,0.03377923979947977,0.03377923979947977
23,SS8_H,-1.0,0.029794813741111398,-0.029794813741111398
24,SS8_E,-1.0,0.029026360541426266,-0.029026360541426266
29,SS8_S,-1.0,0.02900120304596639,-0.02900120304596639
27,SS8_B,1.0,0.027747539524724914,0.027747539524724914
3,E,1.0,0.026883902125386484,0.026883902125386484
25,SS8_G,1.0,0.022597065606125677,0.022597065606125677
16,T,1.0,0.01698298203811444,0.01698298203811444
20,SS3_H,-1.0,0.01615471914203369,-0.01615471914203369
12,P,-1.0,0.015706739973570406,-0.015706739973570406
21,SS3_E,1.0,0.015420036604825665,0.015420036604825665
13,Q,-1.0,0.013743394483925048,-0.013743394483925048
8,K,-1.0,0.008928561724434013,-0.008928561724434013
11,N,-1.0,0.006893084360285012,-0.006893084360285012
33,AROM,-1.0,0.006267332982302125,-0.006267332982302125
