Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7230063514467184,0.683076923076923,0.4340175953079179,0.5307830245068739,0.746286271633166,1
0.7194777699364855,0.685064935064935,0.4125122189638319,0.5149481391092129,0.7460900665154242,2
0.7134791813690896,0.6815834767641996,0.3870967741935484,0.4937655860349127,0.7434063475459247,3
0.7219477769936485,0.6923076923076923,0.41348973607038125,0.5177478580171359,0.7509835894795194,4
0.721242060691602,0.6876006441223832,0.4173998044965787,0.5194647201946472,0.7527351317273122,5
0.7145377558221595,0.6666666666666666,0.41837732160312807,0.5141141141141141,0.7497874669460498,6
0.7233592095977417,0.7008403361344537,0.40762463343108507,0.515451174289246,0.753624397013364,7
0.7240649258997883,0.6991735537190082,0.41348973607038125,0.5196560196560197,0.7557475684869212,8
0.7155963302752294,0.6758508914100486,0.40762463343108507,0.5085365853658537,0.7512507738901996,9
0.7191249117854622,0.6787401574803149,0.42130987292277616,0.5199034981905911,0.7495645433872398,10
