Feature,PosCount,NegCount,TotalCount,DominantCount
C,0,10,10,10
H,0,10,10,10
S,0,10,10,10
W,0,10,10,10
F,0,8,8,8
M,8,0,8,8
V,8,0,8,8
Y,0,8,8,8
A,7,0,7,7
SS8_T,0,6,6,6
G,5,0,5,5
D,4,0,4,4
L,0,2,2,2
SS8_I,2,0,2,2
SS3_E,1,0,1,1
SS8_H,0,1,1,1
