Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
18,W,-1.0,0.23124074994078894,-0.23124074994078894
15,S,-1.0,0.20789957312819762,-0.20789957312819762
1,C,-1.0,0.20716907482022265,-0.20716907482022265
6,H,-1.0,0.19861062022276157,-0.19861062022276157
17,V,1.0,0.09959303715687493,0.09959303715687493
10,M,1.0,0.09282215581714826,0.09282215581714826
9,L,-1.0,0.07845442584410425,-0.07845442584410425
19,Y,-1.0,0.0784418512893795,-0.0784418512893795
2,D,1.0,0.07363745969859009,0.07363745969859009
0,A,1.0,0.06685974970929054,0.06685974970929054
28,SS8_T,-1.0,0.06595410108956942,-0.06595410108956942
26,SS8_I,1.0,0.06278616672681886,0.06278616672681886
29,SS8_S,-1.0,0.06155479327452044,-0.06155479327452044
5,G,1.0,0.059429124427739434,0.059429124427739434
4,F,-1.0,0.058691698986750376,-0.058691698986750376
23,SS8_H,-1.0,0.05781562367495405,-0.05781562367495405
32,GRAVY,-1.0,0.04752380609744169,-0.04752380609744169
3,E,1.0,0.04346220844961484,0.04346220844961484
25,SS8_G,-1.0,0.042648855097852385,-0.042648855097852385
16,T,1.0,0.029775463181925425,0.029775463181925425
13,Q,-1.0,0.02862923009948709,-0.02862923009948709
7,I,1.0,0.027951631509743453,0.027951631509743453
31,ASA,-1.0,0.02763073661839048,-0.02763073661839048
22,SS3_C,-1.0,0.026233202548973482,-0.026233202548973482
12,P,-1.0,0.02230773508472521,-0.02230773508472521
21,SS3_E,1.0,0.019061727075111615,0.019061727075111615
27,SS8_B,1.0,0.016112377405926782,0.016112377405926782
30,SS8_-,-1.0,0.014722998862339385,-0.014722998862339385
20,SS3_H,1.0,0.01387992939037587,0.01387992939037587
33,AROM,-1.0,0.013611798576015098,-0.013611798576015098
24,SS8_E,-1.0,0.00944135495136369,-0.00944135495136369
14,R,-1.0,0.007974005250998558,-0.007974005250998558
11,N,1.0,0.007151144286729153,0.007151144286729153
8,K,1.0,0.0059790703018543214,0.0059790703018543214
