Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7000705716302047,0.6304675716440422,0.40860215053763443,0.4958481613285884,0.7368579005350704,1
0.6990119971771348,0.6272455089820359,0.4095796676441838,0.4955647545830869,0.7274735204056021,2
0.7000705716302047,0.6341085271317829,0.3998044965786901,0.4904076738609113,0.7267092110611107,3
0.7011291460832745,0.6337386018237082,0.40762463343108507,0.496133254015467,0.7348456510744322,4
0.7145377558221595,0.658753709198813,0.4340175953079179,0.5232763700648203,0.7390552899004833,5
0.6972477064220184,0.6244343891402715,0.4046920821114369,0.49110320284697506,0.7321899999622163,6
0.7064220183486238,0.6444780635400907,0.41642228739002934,0.505938242280285,0.7351657326007623,7
0.7127734650670431,0.656671664167916,0.4281524926686217,0.5183431952662721,0.7342081868542031,8
0.7021877205363444,0.6387596899224807,0.4027370478983382,0.4940047961630695,0.7372891739575624,9
0.6993648553281581,0.6223175965665236,0.4252199413489736,0.5052264808362369,0.7379082861172599,10
