Feature,PosCount,NegCount,TotalCount,DominantCount
A,10,0,10,10
ASA,0,10,10,10
C,0,10,10,10
H,0,10,10,10
L,0,10,10,10
S,0,10,10,10
SS8_E,9,0,9,9
D,7,0,7,7
V,7,0,7,7
K,4,0,4,4
SS8_-,0,4,4,4
W,0,4,4,4
P,0,3,3,3
G,2,0,2,2
