Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.7499031047767307,0.7499031047767307
21,SS3_E,1.0,0.47728521216504,0.47728521216504
28,SS8_T,-1.0,0.26971146018193004,-0.26971146018193004
29,SS8_S,-1.0,0.24812608471806308,-0.24812608471806308
6,H,1.0,0.14393152240054877,0.14393152240054877
14,R,-1.0,0.1422648533075994,-0.1422648533075994
24,SS8_E,1.0,0.1342453157490414,0.1342453157490414
33,AROM,1.0,0.1254688195881606,0.1254688195881606
0,A,-1.0,0.12429370604862855,-0.12429370604862855
15,S,1.0,0.11682028679658724,0.11682028679658724
2,D,-1.0,0.11241389243855386,-0.11241389243855386
26,SS8_I,1.0,0.09675990310169699,0.09675990310169699
22,SS3_C,1.0,0.0935638834572885,0.0935638834572885
11,N,1.0,0.09005108976995861,0.09005108976995861
25,SS8_G,-1.0,0.0856393745349468,-0.0856393745349468
20,SS3_H,1.0,0.06257609153577161,0.06257609153577161
17,V,1.0,0.06012657048908701,0.06012657048908701
18,W,-1.0,0.05387807594615078,-0.05387807594615078
12,P,-1.0,0.05308013170724137,-0.05308013170724137
1,C,-1.0,0.048682173111509734,-0.048682173111509734
8,K,-1.0,0.04752354766970113,-0.04752354766970113
13,Q,1.0,0.04609673744947698,0.04609673744947698
9,L,-1.0,0.036896572382413735,-0.036896572382413735
16,T,1.0,0.036505069400723136,0.036505069400723136
5,G,1.0,0.035070108758892084,0.035070108758892084
30,SS8_-,-1.0,0.034464425681648474,-0.034464425681648474
23,SS8_H,-1.0,0.03339899469840824,-0.03339899469840824
27,SS8_B,1.0,0.030267529718404768,0.030267529718404768
7,I,1.0,0.021316801598856582,0.021316801598856582
10,M,1.0,0.020615659032710062,0.020615659032710062
4,F,1.0,0.01826445658190364,0.01826445658190364
31,ASA,1.0,0.014014266646965605,0.014014266646965605
3,E,-1.0,0.008339806357937319,-0.008339806357937319
19,Y,-1.0,0.003563876810264369,-0.003563876810264369
