Accuracy,Precision,Recall,F1,ROC_AUC,run
0.8158844765342961,0.7634408602150538,0.71,0.7357512953367875,0.8844632768361581,1
0.8339350180505415,0.813953488372093,0.7,0.7526881720430108,0.8903954802259888,2
0.8375451263537906,0.7777777777777778,0.77,0.7738693467336684,0.8902259887005649,3
0.8014440433212996,0.7368421052631579,0.7,0.717948717948718,0.8848022598870057,4
0.8086642599277978,0.7422680412371134,0.72,0.7309644670050761,0.8771751412429378,5
0.7978339350180506,0.7444444444444445,0.67,0.7052631578947368,0.8740112994350283,6
0.8339350180505415,0.7647058823529411,0.78,0.7722772277227723,0.8724858757062148,7
0.8339350180505415,0.7934782608695652,0.73,0.7604166666666666,0.8677966101694915,8
0.8158844765342961,0.7578947368421053,0.72,0.7384615384615385,0.8790960451977401,9
0.8014440433212996,0.7647058823529411,0.65,0.7027027027027027,0.8784180790960452,10
