Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8353178614579183,0.8353178614579183
22,SS3_C,1.0,0.39701189784426966,0.39701189784426966
30,SS8_-,-1.0,0.3223646297941325,-0.3223646297941325
12,P,1.0,0.3068976474559098,0.3068976474559098
26,SS8_I,1.0,0.30578980048534565,0.30578980048534565
20,SS3_H,1.0,0.27478493861452313,0.27478493861452313
33,AROM,1.0,0.2692520206100829,0.2692520206100829
28,SS8_T,-1.0,0.21683948271849643,-0.21683948271849643
8,K,-1.0,0.19264023748199188,-0.19264023748199188
17,V,1.0,0.18331313891997467,0.18331313891997467
4,F,1.0,0.17633077233589994,0.17633077233589994
16,T,1.0,0.15863014961841057,0.15863014961841057
13,Q,-1.0,0.10053369462263775,-0.10053369462263775
3,E,1.0,0.0817957290932232,0.0817957290932232
31,ASA,-1.0,0.06825889771639727,-0.06825889771639727
23,SS8_H,1.0,0.06670691204037071,0.06670691204037071
18,W,1.0,0.06387432930656618,0.06387432930656618
25,SS8_G,-1.0,0.05952583366567914,-0.05952583366567914
27,SS8_B,-1.0,0.05726303628964081,-0.05726303628964081
7,I,1.0,0.049003506854990365,0.049003506854990365
24,SS8_E,-1.0,0.046925881819894016,-0.046925881819894016
0,A,-1.0,0.03926496194068086,-0.03926496194068086
10,M,1.0,0.0388749708575777,0.0388749708575777
5,G,-1.0,0.033994315516020425,-0.033994315516020425
15,S,-1.0,0.030549375155052735,-0.030549375155052735
1,C,-1.0,0.02189209792949114,-0.02189209792949114
2,D,1.0,0.019780540492040626,0.019780540492040626
14,R,-1.0,0.01803559473716734,-0.01803559473716734
9,L,1.0,0.017383937626851573,0.017383937626851573
6,H,1.0,0.01353855954457784,0.01353855954457784
21,SS3_E,-1.0,0.01023569490313489,-0.01023569490313489
19,Y,1.0,0.010097684998276043,0.010097684998276043
29,SS8_S,-1.0,0.00669785112603527,-0.00669785112603527
11,N,1.0,0.003990257298709227,0.003990257298709227
