Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7725631768953068,0.7032967032967034,0.64,0.6701570680628273,0.8581920903954802,1
0.7581227436823105,0.6774193548387096,0.63,0.6528497409326425,0.8387570621468926,2
0.779783393501805,0.693069306930693,0.7,0.6965174129353234,0.8655367231638418,3
0.7870036101083032,0.7303370786516854,0.65,0.6878306878306878,0.8424858757062147,4
0.7942238267148014,0.7171717171717171,0.71,0.7135678391959799,0.8701129943502826,5
0.8050541516245487,0.75,0.69,0.71875,0.8534463276836158,6
0.7906137184115524,0.7019230769230769,0.73,0.7156862745098039,0.8594350282485876,7
0.776173285198556,0.7021276595744681,0.66,0.6804123711340206,0.8489265536723164,8
0.8050541516245487,0.7254901960784313,0.74,0.7326732673267327,0.8730508474576272,9
0.7833935018050542,0.7325581395348837,0.63,0.6774193548387096,0.8319209039548022,10
