Accuracy,Precision,Recall,F1,ROC_AUC,run
0.779783393501805,0.7349397590361446,0.61,0.6666666666666666,0.8530508474576272,1
0.776173285198556,0.7159090909090909,0.63,0.6702127659574468,0.855593220338983,2
0.779783393501805,0.7096774193548387,0.66,0.6839378238341969,0.8540677966101695,3
0.779783393501805,0.7142857142857143,0.65,0.680628272251309,0.8430508474576272,4
0.8050541516245487,0.73,0.73,0.73,0.86954802259887,5
0.7978339350180506,0.7340425531914894,0.69,0.711340206185567,0.8554237288135593,6
0.7617328519855595,0.6847826086956522,0.63,0.65625,0.8501694915254238,7
0.7689530685920578,0.6836734693877551,0.67,0.6767676767676768,0.844632768361582,8
0.8122743682310469,0.75,0.72,0.7346938775510204,0.8635593220338984,9
0.7833935018050542,0.7325581395348837,0.63,0.6774193548387096,0.8455367231638418,10
