Feature,PosCount,NegCount,TotalCount,DominantCount
C,0,10,10,10
D,10,0,10,10
H,0,10,10,10
K,10,0,10,10
S,0,10,10,10
A,9,0,9,9
N,9,0,9,9
G,8,0,8,8
L,0,8,8,8
SS3_C,0,5,5,5
V,4,0,4,4
ASA,0,3,3,3
W,0,3,3,3
SS8_I,1,0,1,1
