Model Subfolder,Task,Embedding Type,Variant,CI_Mode,CI_Alpha,Accuracy_mean,Accuracy_ci_low,Accuracy_ci_high,Precision_mean,Precision_ci_low,Precision_ci_high,Recall_mean,Recall_ci_low,Recall_ci_high,F1_mean,F1_ci_low,F1_ci_high,ROC_AUC_mean,ROC_AUC_ci_low,ROC_AUC_ci_high
esm2_t12_35M_UR50D,AGG,Baseline,baseline,normal,0.05,0.7870036101083032,0.7769645927642277,0.7970426274523787,0.6645013540135778,0.6472121346288543,0.6817905733983013,0.833,0.8182814845773493,0.8477185154226506,0.7386956580549914,0.7320897412698971,0.7453015748400856,0.87245197740113,0.8706447658019506,0.8742591890003094
esm2_t12_35M_UR50D,AGG,Informed,informed,normal,0.05,0.772202166064982,0.7577744489011713,0.7866298832287928,0.6411466304592484,0.6202886336071396,0.6620046273113571,0.845,0.8372732623091237,0.8527267376908763,0.728570342477983,0.717518098149203,0.7396225868067631,0.8710141242937853,0.8700678049279357,0.871960443659635
esm2_t12_35M_UR50D,TM,Informed,informed,normal,0.05,0.9777089783281735,0.9739014791750343,0.9815164774813127,0.9127578831686554,0.8819272321823285,0.9435885341549822,0.9358695652173912,0.9234664312878993,0.9482726991468831,0.923282944064565,0.9122892482780361,0.9342766398510939,0.9950969235598807,0.9937914843146513,0.9964023628051101
esm2_t12_35M_UR50D,TM,Baseline,baseline,normal,0.05,0.9653250773993808,0.9628107143154573,0.9678394404833043,0.8707961335210419,0.8454875160029793,0.8961047510391045,0.8913043478260869,0.8715652322981159,0.911043463354058,0.8799888419828491,0.8732547884076617,0.8867228955580365,0.9831198006592372,0.9813103448276861,0.9849292564907883
esm2_t12_35M_UR50D,EV,Baseline,baseline,normal,0.05,0.6460479887085392,0.6187593104094311,0.6733366670076473,0.5198022130400982,0.4844979316569799,0.5551064944232166,0.6746823069403715,0.5736788557761205,0.7756857581046224,0.5743087459364082,0.5450812531498965,0.60353623872292,0.7169966259196946,0.7148698671871996,0.7191233846521896
esm2_t12_35M_UR50D,EV,Informed,informed,normal,0.05,0.6449541284403669,0.6139194595720618,0.675988797308672,0.5203023410410795,0.48165313687808814,0.5589515452040709,0.683088954056696,0.5795844904924728,0.7865934176209192,0.5769541961592111,0.5505530184784063,0.6033553738400158,0.7254354161302737,0.7225907683737787,0.7282800638867688
esm2_t12_35M_UR50D,AGG,ESM2,original,normal,0.05,0.8148014440433213,0.8032488740945914,0.8263540139920512,0.7107202881705921,0.6880311385410031,0.7334094378001811,0.826,0.8147143772554178,0.8372856227445821,0.7633946213526146,0.7538094134335566,0.7729798292716726,0.8847881355932203,0.8829793065988966,0.8865969645875441
esm2_t12_35M_UR50D,AGG,Partitioned,adapted,normal,0.05,0.8075812274368233,0.7913823576741467,0.8237800971994999,0.6961567423844128,0.6662377886066082,0.7260756961622175,0.8380000000000001,0.8254727408862435,0.8505272591137567,0.7594151880146429,0.746694237556083,0.7721361384732028,0.8805988700564971,0.8799772043968379,0.8812205357161562
esm2_t33_650M_UR50D,AGG,Baseline,baseline,normal,0.05,0.7935018050541516,0.7864240570115274,0.8005795530967758,0.6782403932425339,0.6632944845739028,0.693186301911165,0.8180000000000002,0.8008712224111415,0.8351287775888588,0.7410278952678723,0.7369035736658693,0.7451522168698752,0.8750367231638417,0.873925515455111,0.8761479308725725
esm2_t33_650M_UR50D,AGG,Informed,informed,normal,0.05,0.8010830324909748,0.7867584085889532,0.8154076563929964,0.6853685178961803,0.6620766725807099,0.7086603632116506,0.836,0.8283101443225288,0.8436898556774711,0.7526256613215548,0.7410147218062431,0.7642366008368666,0.869367231638418,0.8683983232836076,0.8703361399932285
esm2_t33_650M_UR50D,TM,Informed,informed,normal,0.05,0.9715170278637771,0.9647067665379356,0.9783272891896186,0.8819347943329404,0.8379056216888118,0.9259639669770691,0.9304347826086957,0.9143735340087693,0.9464960312086221,0.9039683519917961,0.8840571661338297,0.9238795378497626,0.9904469471040652,0.9880017135356772,0.9928921806724532
esm2_t33_650M_UR50D,TM,Baseline,baseline,normal,0.05,0.9592879256965945,0.957901876779857,0.9606739746133319,0.8364229569258882,0.8296156219588522,0.8432302918929242,0.8880434782608695,0.87480207701999,0.901284879501749,0.8613055476671168,0.8559678475468657,0.8666432477873678,0.9789475749489878,0.977537669807883,0.9803574800900925
esm2_t12_35M_UR50D,TM,Partitioned,adapted,normal,0.05,0.9826625386996903,0.9763162296655079,0.9890088477338728,0.9333586589011258,0.8931286028389307,0.9735887149633209,0.951086956521739,0.9341900128184871,0.9679839002249909,0.9407521676014639,0.9222254928715449,0.9592788423313828,0.99597002040496,0.9950726633535555,0.9968673774563644
esm2_t12_35M_UR50D,TM,ESM2,original,normal,0.05,0.9845201238390094,0.9834760913948547,0.9855641562831642,0.9395601129884168,0.9260116775386672,0.9531085484381664,0.9532608695652174,0.9428610302284212,0.9636607089020136,0.9461048506501332,0.9429551523653914,0.9492545489348749,0.9942032255532883,0.9936736126314574,0.9947328384751193
esm2_t12_35M_UR50D,EV,Partitioned,adapted,normal,0.05,0.694954128440367,0.6822709024861764,0.7076373543945575,0.5686597058560415,0.5343538179203101,0.602965593791773,0.7215053763440861,0.6454465698646824,0.7975641828234897,0.6277200772772278,0.6049060117774632,0.6505341427769924,0.7786213878152034,0.7763252957132584,0.7809174799171484
esm2_t12_35M_UR50D,EV,ESM2,original,normal,0.05,0.709774170783345,0.7001092534832551,0.7194390880834349,0.5873980573115236,0.5663935301134402,0.608402584509607,0.6769305962854351,0.6447551437142091,0.7091060488566611,0.6271221995274543,0.6214543732931348,0.6327900257617738,0.7790928468525947,0.776216843684645,0.7819688500205444
esm2_t33_650M_UR50D,AGG,ESM2,original,normal,0.05,0.8198555956678701,0.8124054861119864,0.8273057052237539,0.7203352566928642,0.7021803030054969,0.7384902103802315,0.8230000000000001,0.8036133732391865,0.8423866267608137,0.7674837129440881,0.7629409251186751,0.7720265007695012,0.8899350282485875,0.8886741274323541,0.8911959290648209
esm2_t33_650M_UR50D,EV,Informed,informed,normal,0.05,0.6460479887085392,0.6251526767808683,0.6669433006362101,0.5145954674152188,0.488704794872752,0.5404861399576856,0.6871945259042034,0.6047685190704903,0.7696205327379164,0.5809313632743401,0.5640520636001936,0.5978106629484867,0.7190956968196418,0.7163077454440394,0.7218836481952442
esm2_t33_650M_UR50D,EV,Baseline,baseline,normal,0.05,0.6570571630204658,0.6380194391653624,0.6760948868755692,0.5237853200491498,0.4999529350810139,0.5476177050172857,0.6912023460410557,0.6368481460188025,0.7455565460633089,0.591961424095038,0.5854945609092145,0.5984282872808616,0.7239788562672017,0.7216166166293734,0.72634109590503
prot_bert_bfd,AGG,Baseline,baseline,normal,0.05,0.7772563176895306,0.7716708081448809,0.7828418272341804,0.6552692286049161,0.6471057844103495,0.6634326727994827,0.8089999999999999,0.7971012540234341,0.8208987459765658,0.7239309900099598,0.7176125276431028,0.7302494523768167,0.8547542372881356,0.8535222394362599,0.8559862351400113
esm2_t33_650M_UR50D,AGG,Partitioned,adapted,normal,0.05,0.8086642599277978,0.7880759942089366,0.829252525646659,0.7023676424335978,0.662633256128506,0.7421020287386897,0.8320000000000001,0.8115430715304441,0.852456928469556,0.7595878696752583,0.7437819212359688,0.7753938181145478,0.8794209039548022,0.8785300646510747,0.8803117432585297
prot_bert_bfd,AGG,Informed,informed,normal,0.05,0.7841155234657041,0.7794320549410251,0.7887989919903832,0.6591897979165651,0.6519622307793929,0.6664173650537373,0.833,0.8247054237362016,0.8412945762637983,0.7358833058165486,0.731179468732573,0.7405871429005242,0.8630338983050848,0.862074023205214,0.8639937734049556
prot_bert_bfd,TM,Informed,informed,normal,0.05,0.9772445820433436,0.9750267809032906,0.9794623831833966,0.9186503801372362,0.8956512639239413,0.9416494963505311,0.923913043478261,0.9055857348118486,0.9422403521446734,0.9205199758337168,0.9136942122379706,0.927345739429463,0.9915554857950086,0.9898865505820656,0.9932244210079516
prot_bert_bfd,TM,Baseline,baseline,normal,0.05,0.958513931888545,0.9562505234855154,0.9607773402915745,0.842594560236978,0.8213959407353847,0.8637931797385713,0.8739130434782609,0.8555125716120944,0.8923135153444275,0.8572343453804754,0.8512165618093727,0.8632521289515781,0.9809164573850259,0.9793183604645292,0.9825145543055225
prot_bert_bfd,AGG,Partitioned,adapted,normal,0.05,0.8083032490974729,0.7934204469631506,0.8231860512317951,0.7032603584077228,0.6728828621760522,0.7336378546393935,0.8220000000000001,0.7989304329675866,0.8450695670324135,0.7564078030098099,0.7458856579372648,0.766929948082355,0.8749237288135593,0.8734580757167584,0.8763893819103602
