Feature,PosCount,NegCount,TotalCount,DominantCount
GRAVY,10,0,10,10
P,10,0,10,10
SS3_C,10,0,10,10
SS3_H,10,0,10,10
feature_139,0,10,10,10
feature_422,10,0,10,10
SS8_I,9,0,9,9
feature_51,0,4,4,4
feature_66,4,0,4,4
AROM,3,0,3,3
feature_258,0,3,3,3
feature_125,0,2,2,2
feature_181,2,0,2,2
feature_473,0,2,2,2
feature_120,1,0,1,1
feature_129,1,0,1,1
feature_184,1,0,1,1
feature_226,1,0,1,1
feature_234,1,0,1,1
feature_254,1,0,1,1
feature_289,1,0,1,1
feature_328,0,1,1,1
feature_346,0,1,1,1
feature_72,1,0,1,1
feature_80,1,0,1,1
