Feature,DirectionalMean_across_runs
GRAVY,0.9315828667658907
SS3_C,0.32176749923974096
SS3_H,0.3132484308171823
P,0.2337245985767587
SS8_I,0.23147909788439458
feature_422,0.1963667752826745
feature_139,-0.17003791260858658
feature_66,0.09767770593515399
feature_51,-0.09575444590086339
feature_258,-0.08590353877608711
feature_72,0.07647734504293065
AROM,0.07572102929136318
feature_473,-0.07287723552991504
feature_125,-0.07050202943084005
feature_289,0.07003333441926043
feature_226,0.06296030026254786
feature_120,0.05747216269097588
feature_181,0.05386250313345705
feature_385,-0.05002180706997502
feature_328,-0.04926012700400505
feature_80,0.04672593888962847
feature_450,-0.04453293884397892
feature_63,0.040802514380882185
feature_168,-0.039658140703545536
feature_149,-0.038590510558444674
feature_346,-0.03835573674187677
feature_229,0.03824325929291627
SS8_-,-0.037820402491971196
G,0.0370643198581147
feature_187,-0.03689200388947735
feature_236,0.03583773737520383
feature_317,0.03531043484909398
feature_335,-0.03311143632007814
SS8_T,-0.03168674557520505
feature_362,0.029653858554013722
feature_430,0.02875597315207905
feature_129,0.02869878033527439
feature_254,0.026278230648542705
feature_230,-0.025929221104343435
feature_270,0.022172439977768063
feature_234,0.02152319097492071
feature_195,-0.021405259010663005
V,0.021108956821282363
SS8_H,0.020238960975539528
feature_299,0.020224742352174068
feature_466,-0.02020694695931262
Q,-0.019665174531543386
feature_204,-0.018846893147990013
feature_155,-0.016630920923240117
feature_184,0.015991835120047915
feature_225,-0.01576632629518217
feature_45,0.015261902469333871
feature_44,-0.015137049264091188
feature_454,0.015004071095160203
feature_361,0.014815981240833201
feature_94,-0.014607793795583607
F,0.014482099903598139
feature_183,-0.013796027639954214
feature_278,0.013617721574693004
feature_428,-0.012636435634695603
feature_263,-0.01263103803768042
feature_420,-0.012502521543006687
feature_251,-0.012061254107944142
feature_377,0.011957023887508432
feature_211,-0.011817413305008458
feature_372,-0.011794713175683204
feature_408,-0.011605085224887648
feature_352,-0.011528845199370558
feature_350,-0.01139819547698596
feature_379,-0.011352957831446768
feature_340,-0.011146747548155514
feature_216,-0.010567485579025928
SS8_B,-0.010254005458515764
feature_205,-0.010220898317418833
feature_193,-0.010203240037131966
feature_36,0.010181369832497572
feature_455,-0.009989324433879204
feature_290,-0.009590062566710354
feature_203,-0.009587524002943689
feature_85,0.009356767744673939
feature_267,0.009084751269899261
