Feature,PosCount,NegCount,TotalCount,DominantCount
A,10,0,10,10
ASA,0,10,10,10
K,10,0,10,10
L,0,10,10,10
S,0,10,10,10
SS8_-,0,10,10,10
V,10,0,10,10
W,0,10,10,10
D,5,0,5,5
SS8_H,0,4,4,4
E,3,0,3,3
H,0,2,2,2
Q,2,0,2,2
GRAVY,0,1,1,1
I,1,0,1,1
SS8_E,0,1,1,1
SS8_G,0,1,1,1
