Accuracy,Precision,Recall,F1,ROC_AUC,run
0.6923076923076923,0.6111929307805597,0.4056695992179863,0.48766157461809634,0.73426864070066,1
0.7039520112914608,0.6398176291793313,0.4115347018572825,0.5008923259964307,0.740986574388188,2
0.7035991531404375,0.653781512605042,0.38025415444770283,0.48084054388133496,0.7441684978244711,3
0.7046577275935074,0.6400602409638554,0.41544477028348,0.5038529934795495,0.7425330053712162,4
0.7018348623853211,0.6403785488958991,0.396871945259042,0.49004224502112254,0.7447390310004086,5
0.6933662667607622,0.6119186046511628,0.4115347018572825,0.49210987726475747,0.7401191696448283,6
0.7035991531404375,0.6401225114854517,0.40860215053763443,0.4988066825775656,0.7392506853684959,7
0.702893436838391,0.6425196850393701,0.39882697947214074,0.49215922798552475,0.7402951335193368,8
0.7088920254057869,0.662828947368421,0.3939393939393939,0.4941753525444513,0.7458277400031199,9
0.696894848270995,0.6205882352941177,0.4125122189638319,0.49559600704638873,0.7339750077321548,10
