Feature,PosCount,NegCount,TotalCount,DominantCount
A,10,0,10,10
ASA,0,10,10,10
C,0,10,10,10
H,0,10,10,10
L,0,10,10,10
S,0,10,10,10
SS8_-,0,9,9,9
D,8,0,8,8
W,0,7,7,7
K,5,0,5,5
SS8_E,5,0,5,5
V,4,0,4,4
G,1,0,1,1
P,0,1,1,1
