Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
31,ASA,-1.0,0.23503171433730824,-0.23503171433730824
1,C,-1.0,0.221500204445395,-0.221500204445395
6,H,-1.0,0.1967299733213184,-0.1967299733213184
15,S,-1.0,0.15719510834214998,-0.15719510834214998
9,L,-1.0,0.14300603145694857,-0.14300603145694857
17,V,1.0,0.12213014231479032,0.12213014231479032
30,SS8_-,-1.0,0.11662888083874037,-0.11662888083874037
0,A,1.0,0.11298540769187133,0.11298540769187133
2,D,1.0,0.1102347560164972,0.1102347560164972
18,W,-1.0,0.09820111486577975,-0.09820111486577975
12,P,-1.0,0.08436068725282159,-0.08436068725282159
24,SS8_E,1.0,0.08331544062017048,0.08331544062017048
8,K,1.0,0.07261367689975956,0.07261367689975956
29,SS8_S,1.0,0.04859685383329874,0.04859685383329874
7,I,1.0,0.0450615513384837,0.0450615513384837
11,N,1.0,0.0394325510939732,0.0394325510939732
21,SS3_E,1.0,0.03594453213968616,0.03594453213968616
14,R,-1.0,0.026666499159610575,-0.026666499159610575
19,Y,1.0,0.021692591929322356,0.021692591929322356
5,G,1.0,0.02122549734408997,0.02122549734408997
26,SS8_I,1.0,0.020023226617477866,0.020023226617477866
22,SS3_C,-1.0,0.019981699605901963,-0.019981699605901963
3,E,1.0,0.017853817654745533,0.017853817654745533
28,SS8_T,1.0,0.017782345873192325,0.017782345873192325
16,T,-1.0,0.017178100440830568,-0.017178100440830568
20,SS3_H,1.0,0.017177025005713168,0.017177025005713168
27,SS8_B,1.0,0.014624657674980057,0.014624657674980057
32,GRAVY,-1.0,0.01394095525765206,-0.01394095525765206
25,SS8_G,-1.0,0.011522054145338037,-0.011522054145338037
23,SS8_H,1.0,0.010712332343189954,0.010712332343189954
33,AROM,-1.0,0.009167310882147436,-0.009167310882147436
4,F,-1.0,0.00692854522731084,-0.00692854522731084
10,M,-1.0,0.006287826250260162,-0.006287826250260162
13,Q,-1.0,0.005934652330787894,-0.005934652330787894
