Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7978339350180506,0.7444444444444445,0.67,0.7052631578947368,0.8861299435028248,1
0.7833935018050542,0.7272727272727273,0.64,0.6808510638297872,0.8738983050847458,2
0.8194945848375451,0.7659574468085106,0.72,0.7422680412371134,0.8824293785310733,3
0.8086642599277978,0.7701149425287356,0.67,0.7165775401069518,0.8832485875706214,4
0.8014440433212996,0.7528089887640449,0.67,0.708994708994709,0.8777401129943503,5
0.8122743682310469,0.7857142857142857,0.66,0.717391304347826,0.8863276836158193,6
0.8086642599277978,0.7582417582417582,0.69,0.7225130890052356,0.8788983050847458,7
0.7906137184115524,0.7386363636363636,0.65,0.6914893617021277,0.8707909604519773,8
0.8050541516245487,0.7948717948717948,0.62,0.6966292134831461,0.8955649717514125,9
0.8014440433212996,0.8,0.6,0.6857142857142857,0.8792655367231639,10
