Accuracy,Precision,Recall,F1,ROC_AUC,run
0.9752321981424149,0.975,0.8478260869565217,0.9069767441860465,0.9883260084759065,1
0.9736842105263158,0.987012987012987,0.8260869565217391,0.8994082840236687,0.9914063726259614,2
0.9705882352941176,0.974025974025974,0.8152173913043478,0.8875739644970414,0.9838918537121331,3
0.9721362229102167,0.9868421052631579,0.8152173913043478,0.8928571428571429,0.9879336053994664,4
0.978328173374613,0.9875,0.8586956521739131,0.9186046511627907,0.9879924658609324,5
0.9690402476780186,0.9736842105263158,0.8043478260869565,0.8809523809523809,0.9912690315492074,6
0.9721362229102167,0.9868421052631579,0.8152173913043478,0.8928571428571429,0.9875412023230262,7
0.9705882352941176,0.9866666666666667,0.8043478260869565,0.8862275449101796,0.9891892952440747,8
0.9705882352941176,0.9866666666666667,0.8043478260869565,0.8862275449101796,0.9886399309370586,9
0.9721362229102167,1.0,0.8043478260869565,0.891566265060241,0.993662690315492,10
