Accuracy,Precision,Recall,F1,ROC_AUC,run
0.9643962848297214,0.9367088607594937,0.8043478260869565,0.8654970760233918,0.9621331031235285,1
0.9690402476780186,0.9186046511627907,0.8586956521739131,0.8876404494382022,0.9730026683409198,2
0.9690402476780186,0.9186046511627907,0.8586956521739131,0.8876404494382022,0.9749843038769425,3
0.9705882352941176,0.9506172839506173,0.8369565217391305,0.8901734104046243,0.9730026683409199,4
0.9659442724458205,0.926829268292683,0.8260869565217391,0.8735632183908046,0.9716292575733794,5
0.9736842105263158,0.9746835443037974,0.8369565217391305,0.9005847953216374,0.9709425521896092,6
0.9736842105263158,0.9518072289156626,0.8586956521739131,0.9028571428571428,0.9758868309527547,7
0.9674922600619195,0.927710843373494,0.8369565217391305,0.88,0.9792026369486736,8
0.9721362229102167,0.9743589743589743,0.8260869565217391,0.8941176470588236,0.9696868623450009,9
0.9659442724458205,0.9487179487179487,0.8043478260869565,0.8705882352941177,0.9677837074242663,10
