Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7906137184115524,0.7282608695652174,0.67,0.6979166666666666,0.8545197740112994,1
0.7942238267148014,0.7263157894736842,0.69,0.7076923076923077,0.8549717514124294,2
0.8158844765342961,0.7474747474747475,0.74,0.7437185929648241,0.8799435028248588,3
0.7833935018050542,0.717391304347826,0.66,0.6875,0.8590960451977401,4
0.7942238267148014,0.7128712871287128,0.72,0.7164179104477612,0.8667231638418079,5
0.776173285198556,0.7021276595744681,0.66,0.6804123711340206,0.8650282485875707,6
0.7978339350180506,0.72,0.72,0.72,0.8550847457627118,7
0.779783393501805,0.7191011235955056,0.64,0.6772486772486772,0.8603954802259888,8
0.8050541516245487,0.7395833333333334,0.71,0.7244897959183674,0.8624293785310735,9
0.7870036101083032,0.759493670886076,0.6,0.6703910614525139,0.840225988700565,10
