Accuracy,Precision,Recall,F1,ROC_AUC,run
0.7318278052223006,0.6582430806257521,0.5347018572825024,0.5900755124056095,0.7731534183681457,1
0.726182074805928,0.6631439894319683,0.49071358748778104,0.5640449438202247,0.7695045969212799,2
0.7208892025405786,0.6567567567567567,0.4750733137829912,0.551332955190017,0.7670340857138385,3
0.7279463655610444,0.6619537275064268,0.5034213098729228,0.5719044975013882,0.7737903428218883,4
0.7321806633733239,0.6727748691099477,0.5024437927663734,0.5752658086177952,0.7741854518898034,5
0.7275935074100212,0.6640522875816993,0.4965786901270772,0.5682326621923938,0.7674081438887909,6
0.7353563867325336,0.6775032509752926,0.509286412512219,0.5814732142857143,0.7738221890445756,7
0.7275935074100212,0.673582295988935,0.4760508308895406,0.5578465063001146,0.7731647534643563,8
0.7318278052223006,0.672346002621232,0.501466275659824,0.574468085106383,0.7701393623090778,9
0.7328863796753705,0.6610169491525424,0.533724340175953,0.5905895078420768,0.7760595211299688,10
