Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8909641037843666,0.8909641037843666
26,SS8_I,1.0,0.4333393650112213,0.4333393650112213
33,AROM,1.0,0.4182628126369962,0.4182628126369962
8,K,-1.0,0.31980806625638875,-0.31980806625638875
25,SS8_G,-1.0,0.2787986370864444,-0.2787986370864444
1,C,-1.0,0.2612907743976814,-0.2612907743976814
7,I,1.0,0.23732448746934912,0.23732448746934912
20,SS3_H,1.0,0.22883746575958205,0.22883746575958205
4,F,1.0,0.1725915842406324,0.1725915842406324
9,L,1.0,0.1588433400879715,0.1588433400879715
30,SS8_-,-1.0,0.1520042002123599,-0.1520042002123599
31,ASA,1.0,0.15121825765143013,0.15121825765143013
13,Q,-1.0,0.14203201632569798,-0.14203201632569798
17,V,1.0,0.11426079814705194,0.11426079814705194
23,SS8_H,1.0,0.09533813133916368,0.09533813133916368
6,H,-1.0,0.08420963731686108,-0.08420963731686108
29,SS8_S,1.0,0.08115618529510202,0.08115618529510202
15,S,-1.0,0.06297579503528186,-0.06297579503528186
12,P,1.0,0.051733641201995154,0.051733641201995154
3,E,-1.0,0.04713414898778222,-0.04713414898778222
16,T,1.0,0.035209202261633966,0.035209202261633966
21,SS3_E,-1.0,0.03496054175289052,-0.03496054175289052
24,SS8_E,-1.0,0.03297606753909157,-0.03297606753909157
11,N,-1.0,0.0323903229020863,-0.0323903229020863
5,G,-1.0,0.030340474254595004,-0.030340474254595004
2,D,-1.0,0.027814069389866792,-0.027814069389866792
10,M,1.0,0.024248059256308744,0.024248059256308744
22,SS3_C,1.0,0.024130314633699333,0.024130314633699333
14,R,1.0,0.012362373805594115,0.012362373805594115
28,SS8_T,-1.0,0.012255696224935424,-0.012255696224935424
18,W,-1.0,0.011507586122026467,-0.011507586122026467
19,Y,-1.0,0.011137845589729673,-0.011137845589729673
0,A,-1.0,0.008519423326981926,-0.008519423326981926
27,SS8_B,1.0,0.0053892049391882635,0.0053892049391882635
