Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.9625321716544906,0.9625321716544906
26,SS8_I,1.0,0.7162728498778635,0.7162728498778635
18,W,1.0,0.31941770973501116,0.31941770973501116
28,SS8_T,-1.0,0.2886689428142609,-0.2886689428142609
7,I,1.0,0.28311133721776915,0.28311133721776915
9,L,1.0,0.18081412498859,0.18081412498859
25,SS8_G,-1.0,0.16855360016768092,-0.16855360016768092
4,F,1.0,0.15982324538672288,0.15982324538672288
23,SS8_H,1.0,0.1556783283294078,0.1556783283294078
33,AROM,1.0,0.14964422646124967,0.14964422646124967
1,C,-1.0,0.1460235102052977,-0.1460235102052977
8,K,-1.0,0.130408798688842,-0.130408798688842
16,T,1.0,0.10972467636122027,0.10972467636122027
20,SS3_H,1.0,0.0889031196334856,0.0889031196334856
31,ASA,1.0,0.08230708002385248,0.08230708002385248
22,SS3_C,-1.0,0.07128550132653827,-0.07128550132653827
24,SS8_E,-1.0,0.06946703090091524,-0.06946703090091524
19,Y,1.0,0.06442016588359341,0.06442016588359341
5,G,1.0,0.06374363309610236,0.06374363309610236
12,P,1.0,0.06264895235129439,0.06264895235129439
11,N,-1.0,0.054846436831616274,-0.054846436831616274
0,A,-1.0,0.04613392860736686,-0.04613392860736686
15,S,-1.0,0.04520212460009262,-0.04520212460009262
13,Q,-1.0,0.042692553582143584,-0.042692553582143584
29,SS8_S,1.0,0.0393814037114603,0.0393814037114603
2,D,-1.0,0.037871285606112096,-0.037871285606112096
30,SS8_-,-1.0,0.03215021790940028,-0.03215021790940028
17,V,1.0,0.021285127803161497,0.021285127803161497
21,SS3_E,-1.0,0.020936937671406416,-0.020936937671406416
10,M,1.0,0.018112895018196722,0.018112895018196722
3,E,-1.0,0.016670350846258262,-0.016670350846258262
14,R,1.0,0.012342325225944039,0.012342325225944039
6,H,-1.0,0.01209447447224262,-0.01209447447224262
27,SS8_B,-1.0,0.0031495638686439473,-0.0031495638686439473
