Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8550823592778388,0.8550823592778388
26,SS8_I,1.0,0.8155063780387459,0.8155063780387459
28,SS8_T,-1.0,0.391213388439248,-0.391213388439248
18,W,1.0,0.2565432589818396,0.2565432589818396
8,K,-1.0,0.24552571387125952,-0.24552571387125952
25,SS8_G,-1.0,0.2370849406845185,-0.2370849406845185
22,SS3_C,-1.0,0.22375876871777184,-0.22375876871777184
3,E,-1.0,0.1846454290004334,-0.1846454290004334
33,AROM,1.0,0.13556155369740877,0.13556155369740877
31,ASA,1.0,0.12346502031119679,0.12346502031119679
10,M,1.0,0.11788522058351075,0.11788522058351075
7,I,1.0,0.1073108025021097,0.1073108025021097
23,SS8_H,1.0,0.10037753100050319,0.10037753100050319
5,G,1.0,0.09663083163387025,0.09663083163387025
17,V,1.0,0.09404542676825982,0.09404542676825982
9,L,1.0,0.08999289991957911,0.08999289991957911
16,T,1.0,0.0878154585420264,0.0878154585420264
1,C,-1.0,0.07687062531405765,-0.07687062531405765
20,SS3_H,1.0,0.07305347382858633,0.07305347382858633
24,SS8_E,-1.0,0.06864864286215139,-0.06864864286215139
4,F,1.0,0.06376710516410056,0.06376710516410056
2,D,-1.0,0.06008990315454088,-0.06008990315454088
11,N,-1.0,0.057411255096981084,-0.057411255096981084
12,P,1.0,0.05303507487280203,0.05303507487280203
27,SS8_B,-1.0,0.04170942428672423,-0.04170942428672423
15,S,-1.0,0.038888994648870696,-0.038888994648870696
0,A,1.0,0.029943592216811355,0.029943592216811355
30,SS8_-,1.0,0.026046122079900643,0.026046122079900643
19,Y,1.0,0.018771713266335924,0.018771713266335924
14,R,1.0,0.014813497123925892,0.014813497123925892
6,H,1.0,0.009224874249431447,0.009224874249431447
13,Q,-1.0,0.008830441826348203,-0.008830441826348203
21,SS3_E,-1.0,0.008614638587653541,-0.008614638587653541
29,SS8_S,-1.0,0.0062668091970902035,-0.0062668091970902035
