Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,1.020720924610746,1.020720924610746
26,SS8_I,1.0,0.6108652084735401,0.6108652084735401
28,SS8_T,-1.0,0.3529440387012966,-0.3529440387012966
18,W,1.0,0.3137907312247364,0.3137907312247364
25,SS8_G,-1.0,0.19765617239613545,-0.19765617239613545
9,L,1.0,0.18699375132237855,0.18699375132237855
17,V,1.0,0.1660130579113204,0.1660130579113204
33,AROM,1.0,0.16210760277325145,0.16210760277325145
5,G,1.0,0.12132872764476892,0.12132872764476892
31,ASA,1.0,0.11091659606566001,0.11091659606566001
7,I,1.0,0.10241665161518711,0.10241665161518711
15,S,-1.0,0.09381304968007605,-0.09381304968007605
23,SS8_H,1.0,0.09319888139094362,0.09319888139094362
4,F,1.0,0.08330475344958298,0.08330475344958298
8,K,-1.0,0.07907523399828853,-0.07907523399828853
22,SS3_C,-1.0,0.06915304135619219,-0.06915304135619219
12,P,1.0,0.06468693352430567,0.06468693352430567
20,SS3_H,1.0,0.05289347914884282,0.05289347914884282
16,T,1.0,0.05275621990696158,0.05275621990696158
14,R,1.0,0.05104039101503494,0.05104039101503494
10,M,1.0,0.04620019482716755,0.04620019482716755
1,C,-1.0,0.045833056511167196,-0.045833056511167196
21,SS3_E,-1.0,0.04568175556396993,-0.04568175556396993
24,SS8_E,-1.0,0.03923304673881046,-0.03923304673881046
13,Q,1.0,0.0367328795500366,0.0367328795500366
6,H,1.0,0.035572926256961054,0.035572926256961054
2,D,-1.0,0.03464528984270585,-0.03464528984270585
3,E,-1.0,0.02971968350662529,-0.02971968350662529
11,N,-1.0,0.025957630578608466,-0.025957630578608466
0,A,-1.0,0.02553278092038805,-0.02553278092038805
29,SS8_S,1.0,0.023809712265584367,0.023809712265584367
27,SS8_B,-1.0,0.02303028072588531,-0.02303028072588531
30,SS8_-,-1.0,0.016851943923818568,-0.016851943923818568
19,Y,-1.0,0.0062216124258904675,-0.0062216124258904675
