Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.701860830147937,0.701860830147937
26,SS8_I,1.0,0.5933872988730515,0.5933872988730515
28,SS8_T,-1.0,0.4267542210582894,-0.4267542210582894
18,W,1.0,0.3495417701957307,0.3495417701957307
7,I,1.0,0.24182704817462064,0.24182704817462064
8,K,-1.0,0.19633209048390082,-0.19633209048390082
12,P,1.0,0.18558163041430775,0.18558163041430775
33,AROM,1.0,0.17297789718712606,0.17297789718712606
22,SS3_C,-1.0,0.157060125723264,-0.157060125723264
5,G,1.0,0.13762538844649316,0.13762538844649316
31,ASA,1.0,0.12943473271938805,0.12943473271938805
25,SS8_G,-1.0,0.10638870673103488,-0.10638870673103488
20,SS3_H,1.0,0.10563198458621224,0.10563198458621224
9,L,1.0,0.10514015256693048,0.10514015256693048
15,S,-1.0,0.09975179992394125,-0.09975179992394125
4,F,1.0,0.0986967813465268,0.0986967813465268
1,C,-1.0,0.09400607055436852,-0.09400607055436852
23,SS8_H,1.0,0.09235632734857971,0.09235632734857971
16,T,1.0,0.08177109846089765,0.08177109846089765
10,M,1.0,0.07855125550017565,0.07855125550017565
17,V,1.0,0.07824205431319657,0.07824205431319657
11,N,-1.0,0.0660372741183555,-0.0660372741183555
3,E,-1.0,0.0470662654321026,-0.0470662654321026
27,SS8_B,-1.0,0.044765529911258733,-0.044765529911258733
19,Y,1.0,0.042658320479581985,0.042658320479581985
30,SS8_-,-1.0,0.019970946221803912,-0.019970946221803912
2,D,-1.0,0.01934626874903484,-0.01934626874903484
29,SS8_S,1.0,0.019067951716586106,0.019067951716586106
6,H,1.0,0.018396028694521987,0.018396028694521987
14,R,-1.0,0.01738803258941349,-0.01738803258941349
0,A,-1.0,0.01704439435115577,-0.01704439435115577
13,Q,-1.0,0.01599131410670388,-0.01599131410670388
21,SS3_E,-1.0,0.01391925714927401,-0.01391925714927401
24,SS8_E,-1.0,0.011799881063032086,-0.011799881063032086
