Index,Feature,CorrSign,MeanAbsSHAP,DirectionalEffect
32,GRAVY,1.0,0.8933801318464097,0.8933801318464097
31,ASA,-1.0,0.3588159937692574,-0.3588159937692574
17,V,1.0,0.3047573565474737,0.3047573565474737
12,P,-1.0,0.22141820462923853,-0.22141820462923853
33,AROM,1.0,0.20955408227756492,0.20955408227756492
7,I,1.0,0.2018760409733874,0.2018760409733874
2,D,-1.0,0.1451524831013281,-0.1451524831013281
9,L,1.0,0.09196349820797331,0.09196349820797331
13,Q,1.0,0.07105826114313601,0.07105826114313601
6,H,1.0,0.04697169151478891,0.04697169151478891
0,A,-1.0,0.045699524715257955,-0.045699524715257955
23,SS8_H,-1.0,0.04204401258513974,-0.04204401258513974
11,N,1.0,0.04166340248653728,0.04166340248653728
20,SS3_H,-1.0,0.041124798005859504,-0.041124798005859504
15,S,-1.0,0.029311911273443143,-0.029311911273443143
8,K,1.0,0.026753285770666792,0.026753285770666792
16,T,-1.0,0.024961395288626755,-0.024961395288626755
5,G,-1.0,0.020615857596112275,-0.020615857596112275
14,R,-1.0,0.019475840708148964,-0.019475840708148964
3,E,1.0,0.014404363672086317,0.014404363672086317
1,C,1.0,0.009115432770742758,0.009115432770742758
22,SS3_C,-1.0,0.008475720254346775,-0.008475720254346775
19,Y,1.0,0.006046650681606592,0.006046650681606592
4,F,1.0,0.0038822883716645284,0.0038822883716645284
28,SS8_T,-1.0,0.0015357748008077777,-0.0015357748008077777
10,M,0.0,0.0,0.0
25,SS8_G,0.0,0.0,0.0
24,SS8_E,0.0,0.0,0.0
18,W,0.0,0.0,0.0
21,SS3_E,0.0,0.0,0.0
29,SS8_S,0.0,0.0,0.0
27,SS8_B,0.0,0.0,0.0
26,SS8_I,0.0,0.0,0.0
30,SS8_-,0.0,0.0,0.0
