Accuracy,Precision,Recall,F1,ROC_AUC,run
0.9829721362229102,1.0,0.8804347826086957,0.9364161849710982,0.9899544812431329,1
0.9767801857585139,0.9753086419753086,0.8586956521739131,0.9132947976878613,0.9893462564746507,2
0.9798761609907121,0.9759036144578314,0.8804347826086957,0.9257142857142857,0.9946436980065924,3
0.9767801857585139,0.9873417721518988,0.8478260869565217,0.9122807017543859,0.9958405273897347,4
0.9798761609907121,1.0,0.8586956521739131,0.9239766081871345,0.9912494113953854,5
0.9814241486068112,0.9878048780487805,0.8804347826086957,0.9310344827586207,0.993270287239052,6
0.978328173374613,0.975609756097561,0.8695652173913043,0.9195402298850575,0.9953892638518286,7
0.9798761609907121,0.9759036144578314,0.8804347826086957,0.9257142857142857,0.9922696593941297,8
0.9767801857585139,0.9753086419753086,0.8586956521739131,0.9132947976878613,0.9928190237011458,9
0.9798761609907121,1.0,0.8586956521739131,0.9239766081871345,0.9918772563176895,10
