Feature,DirectionalMean_across_runs
GRAVY,0.7547339907930914
SS8_I,0.405024339516889
feature_325,-0.34404668557765794
SS3_C,-0.27792820282512964
feature_248,-0.2586928609233391
feature_974,-0.2046487360337769
feature_278,0.1493567130589145
feature_538,-0.13352679970851294
feature_309,-0.11775369804024942
feature_102,0.09976410496404715
feature_220,0.056606544370543785
feature_157,0.0554676972595355
feature_116,0.055319928627149316
feature_330,-0.04929388988316445
feature_355,-0.04508839235178756
feature_544,0.03669237697155155
feature_424,-0.03553734414231213
AROM,0.03540854346965709
feature_503,-0.0346302294953622
P,0.03445296243333152
feature_944,0.03312903134749384
feature_725,-0.03245847213168636
feature_731,0.03230949480545882
feature_317,-0.032086827068469694
feature_62,-0.03009403172396465
feature_685,-0.02824324345926721
feature_189,-0.02770644373969597
feature_171,0.027016857193359806
feature_310,0.026913650285823522
feature_320,-0.026735106022760413
feature_880,-0.026714463797076177
feature_501,0.026502275293434845
feature_532,0.024588576979463553
feature_969,-0.024463701143433277
feature_514,-0.024334354075774528
feature_460,-0.023428686850144573
feature_823,0.02324616081775411
feature_282,0.022699830621206334
feature_795,0.022098576288125834
feature_198,-0.021652301036380973
feature_350,-0.021488623507309984
feature_435,-0.021183610413745398
feature_255,0.020729287939464998
SS3_H,0.01922212518111366
feature_438,-0.019005412019031324
feature_86,0.017970079806857612
feature_657,-0.017226822016793354
feature_446,0.016890177423424236
feature_766,0.016886135933605207
feature_756,0.016654908402942852
feature_632,-0.01595086342974784
feature_911,0.01579025481101356
feature_486,0.015747895592821803
feature_161,-0.015725969283411835
feature_703,0.014516972041642923
feature_853,0.01431345141840673
feature_494,-0.013945880461807763
feature_889,-0.013845084122163297
feature_59,0.013761314963240085
feature_736,-0.013394813439860442
feature_811,0.013087286182621363
feature_679,-0.012967521049313651
feature_468,0.012923056674605065
feature_752,0.01270879991490565
feature_54,0.012224743465658851
feature_404,0.01197309156920638
feature_745,-0.011548902176341858
feature_992,-0.011474772058832952
feature_356,0.011126441882044792
feature_622,0.01096789981316282
feature_396,0.010899338364654464
feature_616,0.010867757911542746
feature_75,0.010852953652288626
feature_859,-0.010764207684451589
feature_760,-0.010678613831054838
feature_328,0.010670830690131377
feature_739,-0.010580046672439457
feature_999,-0.010430223715854375
feature_414,0.009946365866768673
feature_475,0.009926000299283306
SS3_E,-0.009849222589848805
feature_247,-0.009536445299919616
feature_195,-0.009425533540236147
feature_754,-0.009283390264528901
feature_71,-0.00921465789463024
feature_368,-0.008891679990978932
E,-0.008769596965418968
feature_882,-0.008758772184724938
feature_885,-0.00867603725964332
feature_723,0.008492938395862858
feature_559,-0.008487329381755596
feature_715,0.008404319992443426
feature_67,0.008393235036378894
feature_643,-0.008319612708245067
feature_791,0.008174161507229584
feature_582,0.00811107122543522
feature_271,-0.0081092394165407
feature_634,-0.008090619238322948
feature_833,-0.00804073395299627
feature_354,-0.008038594443081179
feature_897,-0.008014996748617817
feature_913,-0.007993072221481379
feature_98,0.007987721318887928
feature_814,0.007792406989352296
feature_933,0.007752371692208208
feature_886,0.007652430152664605
feature_549,-0.007628741482944397
feature_565,0.007534808425459502
feature_922,-0.007467744765086881
feature_552,-0.007454314690461779
feature_884,0.007399634212218708
feature_275,-0.007348011822980148
feature_101,-0.007192613004831483
feature_38,0.007192270494099108
SS8_E,-0.007153475097520285
feature_334,-0.007082823802706882
feature_1012,-0.006998104065418095
feature_384,0.006904062661428902
N,-0.006812081354415618
feature_284,0.006752566872436111
feature_932,0.0067446278349144375
feature_123,0.006370926137334957
feature_942,0.006367214269121657
feature_536,0.006349963941135609
feature_437,-0.0062612089326659305
